model_id,task_id,correctness_0_to_2,relevance_0_to_2,factual_claims,hallucinated_claims,reviewer_notes
qwen25_coder_3b,REP-003,2,2,5,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-004,0,1,11,4,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-005,2,1,10,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-006,0,1,10,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-007,0,0,9,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-008,1,1,15,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-001,0,0,1,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-002,0,2,1,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-003,0,0,1,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-004,0,1,1,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-005,1,0,12,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-006,0,1,1,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-007,0,0,10,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,REP-008,0,1,1,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
