model_id,task_id,correctness_0_to_2,relevance_0_to_2,factual_claims,hallucinated_claims,reviewer_notes
codellama_7b,MED-011,2,2,13,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-012,1,2,8,6,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-013,0,0,7,6,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-014,0,2,5,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-015,0,2,7,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-016,1,2,6,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-017,0,2,8,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-018,0,0,8,6,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-019,1,2,7,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-020,0,2,9,4,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-021,0,2,6,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-022,0,1,4,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-023,0,0,5,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-024,0,0,6,4,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-025,0,2,3,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-001,0,2,5,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-002,0,1,7,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-003,0,2,4,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-004,0,2,3,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-005,0,2,6,4,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-006,0,2,4,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-007,0,1,2,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-008,1,2,3,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-009,0,2,4,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-010,0,2,4,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-011,0,1,2,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-012,2,2,4,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-013,1,1,3,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-014,0,2,4,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-015,0,0,4,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-016,0,2,4,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-017,0,2,3,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-018,0,2,4,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-019,1,2,3,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-020,0,2,3,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-021,0,1,2,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-022,0,0,2,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-023,2,2,1,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-024,0,1,4,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,MED-025,2,2,0,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-001,0,0,4,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-002,1,1,11,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-003,2,2,11,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-004,2,2,12,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-005,0,2,9,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-006,2,2,6,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-007,2,2,9,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-008,0,2,6,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-009,2,2,9,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-010,2,2,8,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-011,2,2,15,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-012,2,2,11,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-013,2,1,7,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-014,2,2,11,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-015,0,2,5,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-016,2,2,9,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-017,0,1,5,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-018,2,2,11,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-019,2,2,8,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-020,2,2,10,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-021,0,2,4,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-022,0,2,3,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-023,0,0,13,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-024,0,0,10,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
starcoder2_3b,MED-025,0,1,1,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
